linha,descricao,agencia,sequencia,shape_id,latitude,longitude
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,0,17362457,"-22.9634","-43.1753"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,1,17362457,"-22.9642","-43.1748"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,2,17362457,"-22.9642","-43.1748"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,3,17362457,"-22.964","-43.1742"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,4,17362457,"-22.964","-43.1742"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,5,17362457,"-22.9638","-43.1739"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,6,17362457,"-22.9638","-43.1739"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,7,17362457,"-22.9635","-43.1741"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,8,17362457,"-22.9631","-43.1743"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,9,17362457,"-22.963","-43.1744"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,10,17362457,"-22.963","-43.1744"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,11,17362457,"-22.9624","-43.1747"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,12,17362457,"-22.9617","-43.1751"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,13,17362457,"-22.9617","-43.1751"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,14,17362457,"-22.9616","-43.1752"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,15,17362457,"-22.9607","-43.1756"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,16,17362457,"-22.9607","-43.1756"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,17,17362457,"-22.9581","-43.1771"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,18,17362457,"-22.9581","-43.1771"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,19,17362457,"-22.9579","-43.1772"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,20,17362457,"-22.9577","-43.1772"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,21,17362457,"-22.9574","-43.1773"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,22,17362457,"-22.9562","-43.1775"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,23,17362457,"-22.9557","-43.1776"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,24,17362457,"-22.9553","-43.1776"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,25,17362457,"-22.9553","-43.1776"
475,475-MEIER X PRADO JUNIOR - CIRCULAR,Fetranspor,26,17362457,"-22.9551","-43.1776"
