linha,descricao,agencia,sequencia,shape_id,latitude,longitude
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,0,17364694,"-22.8654","-43.3365"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,1,17364694,"-22.8655","-43.3365"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,2,17364694,"-22.8657","-43.3366"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,3,17364694,"-22.8657","-43.3366"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,4,17364694,"-22.8667","-43.3369"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,5,17364694,"-22.8667","-43.3369"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,6,17364694,"-22.8667","-43.3369"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,7,17364694,"-22.8668","-43.3369"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,8,17364694,"-22.8672","-43.3361"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,9,17364694,"-22.8674","-43.3357"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,10,17364694,"-22.8675","-43.3356"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,11,17364694,"-22.8675","-43.3356"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,12,17364694,"-22.8678","-43.335"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,13,17364694,"-22.8678","-43.3349"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,14,17364694,"-22.8678","-43.3349"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,15,17364694,"-22.8678","-43.3349"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,16,17364694,"-22.868","-43.3349"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,17,17364694,"-22.868","-43.3349"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,18,17364694,"-22.8682","-43.335"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,19,17364694,"-22.8682","-43.335"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,20,17364694,"-22.8687","-43.3351"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,21,17364694,"-22.869","-43.3352"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,22,17364694,"-22.8693","-43.3352"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,23,17364694,"-22.8693","-43.3352"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,24,17364694,"-22.8694","-43.3353"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,25,17364694,"-22.8697","-43.3354"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,26,17364694,"-22.8698","-43.3354"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,27,17364694,"-22.8698","-43.3354"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,28,17364694,"-22.8707","-43.3357"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,29,17364694,"-22.8707","-43.3357"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,30,17364694,"-22.8722","-43.3363"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,31,17364694,"-22.8723","-43.3363"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,32,17364694,"-22.8724","-43.3363"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,33,17364694,"-22.8725","-43.3363"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,34,17364694,"-22.8725","-43.3363"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,35,17364694,"-22.8725","-43.3363"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,36,17364694,"-22.8729","-43.3361"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,37,17364694,"-22.8729","-43.336"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,38,17364694,"-22.8729","-43.336"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,39,17364694,"-22.873","-43.3359"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,40,17364694,"-22.8732","-43.3358"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,41,17364694,"-22.8733","-43.3357"
734,734-RIO DAS PEDRAS X MADUREIRA - CIRCULAR,Fetranspor,42,17364694,"-22.8735","-43.3357"
